Price,Close,High,Low,Open,Volume,Returns
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,
Date,,,,,,
2018-06-12,45.34592056274414,45.42374580151868,45.079428405593966,45.1360295606633,67644400,0.00549074930588489
2018-06-13,44.97330093383789,45.4874181569556,44.91198571944777,45.37893351770335,86553600,-0.00821726903505382
2018-06-14,44.996891021728516,45.17848325327996,44.86010759003595,45.17376559052578,86440400,0.0005245353887928239
2018-06-15,44.53466796875,44.84596901217522,44.39788450408042,44.815309594664896,246876800,-0.010272333098642616
2018-06-18,44.51108169555664,44.624280426192385,44.14789718692126,44.30826535396777,73939600,-0.0005296160108324566
2018-06-19,43.79179000854492,43.94272284557757,43.2635232796693,43.662081258316235,134314000,-0.016159833902295917
2018-06-20,43.982810974121094,44.147893191048695,43.80121873623951,43.94743749853748,82514800,0.004362026889946691
2018-06-21,43.737552642822266,44.4191092904368,43.61491857931583,44.159691771196826,102847600,-0.0055762313928305884
2018-06-22,43.610198974609375,43.90027229792236,43.558315473070756,43.89319760212371,108801600,-0.0029117694182139164
2018-06-25,42.961639404296875,43.610179282154526,42.622039765218936,43.25171259662547,126652400,-0.01487174068364383
2018-06-26,43.494632720947266,43.989882939520605,43.04890896364015,43.15503658085031,98276800,0.012406261121336026
2018-06-27,43.43096160888672,44.166758662861064,43.400302198797014,43.683300788900816,101141200,-0.0014638843479619634
2018-06-28,43.74696731567383,43.91441012163316,43.346052431946084,43.416802964020754,69460800,0.007276046743631248
2018-06-29,43.654998779296875,44.145531311824726,43.136167469409244,43.93327968606021,90950800,-0.0021022837014808005
2018-07-02,44.1431770324707,44.17147941242454,43.25644709523927,43.35078236421446,70925200,0.011182642694411049
2018-07-03,43.37435531616211,44.32476093119673,43.28473772713927,44.28702683071112,55819200,-0.017416546972662705
2018-07-05,43.7234001159668,43.96159354939329,43.45926852886405,43.69038366757895,66416800,0.008047261965289154
2018-07-06,44.329490661621094,44.43797173189767,43.67623281339386,43.728116316055825,69940800,0.013861926200770647
2018-07-09,44.945011138916016,44.96859225753732,44.64314547179164,44.69031130755683,79026400,0.013885124058684806
2018-07-10,44.890769958496094,45.11009271096756,44.8506752202268,44.97566990105466,63756400,-0.0012068342858403414
2018-07-11,44.308258056640625,44.75633884056429,44.24458220679138,44.45447320956941,75326000,-0.012976206520717515
2018-07-12,45.05113220214844,45.14074980316631,44.64549956394025,44.697383059421924,72164400,0.016766042676698678
2018-07-13,45.12187957763672,45.24215298223861,45.02046962595416,45.06292139132797,50055600,0.001570379522779497
2018-07-16,45.022823333740234,45.4331699443,44.90726401087555,45.16668143015482,60172400,-0.0021953040259781176
2018-07-17,45.150177001953125,45.249226320159714,44.619553341082245,44.749262066777305,62138000,0.0028286468680307486
2018-07-18,44.90254592895508,45.23271387754126,44.79170426889305,45.2279962158199,65573600,-0.005484609129823181
2018-07-19,45.2515869140625,45.40959441668274,44.73511264213496,44.73511264213496,81147200,0.007773300553150619
2018-07-20,45.1478385925293,45.38131079656055,44.84832988393305,45.22802089293349,82704800,-0.002292700181547924
2018-07-23,45.18791198730469,45.270454886685215,44.70445414490889,44.968585665291265,63957600,0.0008876038371861128
2018-07-24,45.51572036743164,45.67137084476869,45.29167997651918,45.38601163631743,74791600,0.007254337846348102
